Source,Account,Time Posted,Content,Location,Klout,Follow
Twitter for iPhone,romfordgeeza,05/05/2019 11:59,@ChrisJC12002 Extinction Rebellion or the European Commission?,Romford,,883
Twitter for iPhone,sergimulero,05/05/2019 11:56,El grafiti atribuït a Banksy sobre la lluita contra el canvi climàtic atreu els turistes que visiten Londres. Va ap… https://t.co/u8XLd2zPiH,"Lleida, Catalunya",,4660
Twitter for Android,MikePepler,05/05/2019 11:52,Great blog from @jonathonporritt on #ExtinctionRebellion! https://t.co/z2CU7vp4Gl,"Rye, East Sussex",,482
Twitter Web Client,s_lorrie44,05/05/2019 11:51,"'Dr Bradbrook was totally oblivious to how she had revealed Extinction Rebellion as a government patsy, '''' https://t.co/C6bC1OVUx6",,,221
Twitter Web Client,iBirdLite,05/05/2019 11:49,"@RemainOnly Tough one.  Torn between Greens & LDs.  Greens did well in last EU elections, and re Extinction Rebelli… https://t.co/kMwYzhhBsG",Itinerant,,5394
Twitter Web Client,Byoz01,05/05/2019 11:49,"@black_turnip ""The event was organised by the 'Wee Rebellion',a branch associated  with Extinction Rebellion that f… https://t.co/POJ1pPvSyB",Buy Australian(Byoz)TQM QSA....,,1705
Facebook,jhealyquintard,05/05/2019 11:41,Thank you Michael Cowdroy it is so time now and wonderful to see this is happening amongst progressive thinkers of… https://t.co/qp08Wd9Hq3,Sydney,,383
Twitter Web Client,CohereSustain,05/05/2019 11:37,"We are in the middle of an Ecological crisis. Our course is set for mass species extinction, and societal collapse.… https://t.co/aZKHEMddkw",Melbourne,,6312
Twitter for iPhone,DamianHaslett,05/05/2019 11:37,"An open letter to Extinction Rebellion......”To address climate change and its roots in inequity and domination, a… https://t.co/LtghZACJxl","Dublin City, Ireland",,432
Facebook,feiland,05/05/2019 11:36,"On the spot again: ""Pie joins the Extinction Rebellion protest that is helping save the planet whilst annoying comm… https://t.co/9WuGKUYbP1","Istanbul, Turkey",,898
Twitter Web Client,noush555,05/05/2019 11:32,EXTINCTION REBELLION SHEFFIELD WEEKLY MEETING  https://t.co/ufd5og0qLs,Remainia,,3326
Twitter Web Client,noush555,05/05/2019 11:32,EXTINCTION REBELLION SHEFFIELD WEEKLY MEETING  https://t.co/ufd5og0qLs,Remainia,,3326
Twitter Web Client,bruce_schlink,05/05/2019 11:30,Actress Emma Thompson spotted on carbon-spewing BA plane to New York https://t.co/v6QOAsj92v via @MailOnline  Extin… https://t.co/cGjvFbEDn4,,,3813
Twitter for iPhone,PhilGreaves01,05/05/2019 11:27,"...the Extinction Rebellion leadership is working hand in glove with the bourgeoisie."" - https://t.co/kMdn9wKbI1",UK,,9913
